code,title,level,units,coordinating_unit,source
PHTY4402,Professional Practice 2,Undergraduate,2.0,Health & Rehab Sci School,https://programs-courses.uq.edu.au/course.html?course_code=PHTY4402
PHTY4403,Professional Practice 3,Undergraduate,2.0,Health & Rehab Sci School,https://programs-courses.uq.edu.au/course.html?course_code=PHTY4403
PHTY4404,Professional Practice 4,Undergraduate,2.0,Health & Rehab Sci School,https://programs-courses.uq.edu.au/course.html?course_code=PHTY4404
PHTY4405,Professional Practice 5,Undergraduate,2.0,Health & Rehab Sci School,https://programs-courses.uq.edu.au/course.html?course_code=PHTY4405
PHTY4409,Professional Practice 6,Undergraduate,2.0,Health & Rehab Sci School,https://programs-courses.uq.edu.au/course.html?course_code=PHTY4409
PHTY7882,Clinical Practice & Professional Issues 1,Postgraduate Coursework,2.0,Health & Rehab Sci School,https://programs-courses.uq.edu.au/course.html?course_code=PHTY7882
PHTY7883,Clinical Practice & Professional Issues 2,Postgraduate Coursework,2.0,Health & Rehab Sci School,https://programs-courses.uq.edu.au/course.html?course_code=PHTY7883
PHTY7884,Clinical Practice & Professional Issues 3,Postgraduate Coursework,2.0,Health & Rehab Sci School,https://programs-courses.uq.edu.au/course.html?course_code=PHTY7884
PHTY7888,Clinical Practice & Professional Issues 4,Postgraduate Coursework,2.0,Health & Rehab Sci School,https://programs-courses.uq.edu.au/course.html?course_code=PHTY7888
PHYS7004,Special Topics in Physics,Postgraduate Coursework,2.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=PHYS7004
PLAN4009,Thesis,Undergraduate,4.0,"Architecture, Design and Planning School",https://programs-courses.uq.edu.au/course.html?course_code=PLAN4009
POLS3801,Internship,Undergraduate,2.0,Politic Sc & Internat Studies,https://programs-courses.uq.edu.au/course.html?course_code=POLS3801
POLS3802,Independent Study,Undergraduate,2.0,Politic Sc & Internat Studies,https://programs-courses.uq.edu.au/course.html?course_code=POLS3802
POLS7000,Writing Politics,Postgraduate Coursework,4.0,Politic Sc & Internat Studies,https://programs-courses.uq.edu.au/course.html?course_code=POLS7000
POLS7002,"Foundations in Politics, Policy and International Relations",Postgraduate Coursework,4.0,Politic Sc & Internat Studies,https://programs-courses.uq.edu.au/course.html?course_code=POLS7002
POLS7108,Independent Study (Master of Governance and Public Policy),Postgraduate Coursework,2.0,Politic Sc & Internat Studies,https://programs-courses.uq.edu.au/course.html?course_code=POLS7108
POLS7120,Research Project (MGPP),Postgraduate Coursework,6.0,Politic Sc & Internat Studies,https://programs-courses.uq.edu.au/course.html?course_code=POLS7120
POLS7125,Internship (Master of Governance and Public Policy),Postgraduate Coursework,2.0,Politic Sc & Internat Studies,https://programs-courses.uq.edu.au/course.html?course_code=POLS7125
POLS7207,Independent Study,Postgraduate Coursework,2.0,Politic Sc & Internat Studies,https://programs-courses.uq.edu.au/course.html?course_code=POLS7207
POLS7704,Research Report,Postgraduate Coursework,4.0,Politic Sc & Internat Studies,https://programs-courses.uq.edu.au/course.html?course_code=POLS7704
PSYC2991,Research Experience I,Undergraduate,1.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC2991
PSYC2992,Research Experience II,Undergraduate,1.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC2992
PSYC4221,Work and Research in Applied Psychology,Undergraduate,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC4221
PSYC4881,Advanced Topics in Psychology I,Undergraduate,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC4881
PSYC4882,Advanced Topics in Psychology II,Undergraduate,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC4882
PSYC4883,Advanced Topics in Psychology III,Undergraduate,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC4883
PSYC4884,Advanced Topics in Psychology IV,Undergraduate,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC4884
PSYC4885,Advanced Topics in Psychology V,Undergraduate,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC4885
PSYC4886,Advanced Topics in Psychology VI,Undergraduate,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC4886
PSYC7415,Business Psychology Project A,Postgraduate Coursework,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC7415
PSYC7425,Business Psychology Project B,Postgraduate Coursework,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC7425
PSYC7435,Business Psychology Project C,Postgraduate Coursework,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC7435
PSYC7534,Organisational Psych Plcmnt 2,Postgraduate Coursework,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC7534
PSYC7544,Organisational Psych Plcmnt 3,Postgraduate Coursework,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC7544
PSYC7554,Organisational Psych Plcmnt 4,Postgraduate Coursework,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC7554
PSYC7810,Psych Plcmnt 1,Postgraduate Coursework,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC7810
PSYC7820,Psych Plcmnt 2,Postgraduate Coursework,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC7820
PSYC7830,Psych Plcmnt 3,Postgraduate Coursework,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC7830
PSYC7840,Psych Plcmnt 4,Postgraduate Coursework,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC7840
PSYC8005,Dissertation,Postgraduate Coursework,32.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC8005
PSYC8320,Clinical Psychology Placement 3,Postgraduate Coursework,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC8320
PSYC8330,Clinical Psychology Placement 4,Postgraduate Coursework,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC8330
PSYC8350,Externship Placement 3,Postgraduate Coursework,4.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC8350
PSYC8360,Clin Neuro Clin Psych Plcmnt 3,Postgraduate Coursework,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC8360
PSYC8370,Clin Neuro Clin Psych Plcmnt 4,Postgraduate Coursework,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC8370
PSYC8380,Clin Neuro Clin Psych Plcmnt 5,Postgraduate Coursework,2.0,Psychology School,https://programs-courses.uq.edu.au/course.html?course_code=PSYC8380
QBIO7008,Research project in Quantitative Biology,Postgraduate Coursework,6.0,The Environment School,https://programs-courses.uq.edu.au/course.html?course_code=QBIO7008
RBUS3999,Business Industry Placement,Undergraduate,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=RBUS3999
RBUS4999,Business Industry Placement,Undergraduate,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=RBUS4999
RBUS6902,Quantitative Business Research Methods I,Undergraduate,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=RBUS6902
RBUS6933,Research Design for Honours,Undergraduate,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=RBUS6933
RBUS7993,Research Thesis,Postgraduate Coursework,8.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=RBUS7993
RBUS7999,Business Industry Placement,Postgraduate Coursework,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=RBUS7999
