course_code	course_html_link
BSAN3210	https://programs-courses.uq.edu.au/course.html?course_code=BSAN3210
BSAN3212	https://programs-courses.uq.edu.au/course.html?course_code=BSAN3212
BSAN4201	https://programs-courses.uq.edu.au/course.html?course_code=BSAN4201
BSAN4204	https://programs-courses.uq.edu.au/course.html?course_code=BSAN4204
BSAN7204	https://programs-courses.uq.edu.au/course.html?course_code=BSAN7204
BSAN7205	https://programs-courses.uq.edu.au/course.html?course_code=BSAN7205
BSAN7206	https://programs-courses.uq.edu.au/course.html?course_code=BSAN7206
BSAN7208	https://programs-courses.uq.edu.au/course.html?course_code=BSAN7208
BSAN7209	https://programs-courses.uq.edu.au/course.html?course_code=BSAN7209
BSAN7211	https://programs-courses.uq.edu.au/course.html?course_code=BSAN7211
BSAN7212	https://programs-courses.uq.edu.au/course.html?course_code=BSAN7212
BSAN7213	https://programs-courses.uq.edu.au/course.html?course_code=BSAN7213
BSAN7215	https://programs-courses.uq.edu.au/course.html?course_code=BSAN7215
CHEE2001	https://programs-courses.uq.edu.au/course.html?course_code=CHEE2001
CHEE2020	https://programs-courses.uq.edu.au/course.html?course_code=CHEE2020
CHEE2030	https://programs-courses.uq.edu.au/course.html?course_code=CHEE2030
CHEE2040	https://programs-courses.uq.edu.au/course.html?course_code=CHEE2040
CHEE3007	https://programs-courses.uq.edu.au/course.html?course_code=CHEE3007
CHEE3008	https://programs-courses.uq.edu.au/course.html?course_code=CHEE3008
CHEE3020	https://programs-courses.uq.edu.au/course.html?course_code=CHEE3020
CHEE4001	https://programs-courses.uq.edu.au/course.html?course_code=CHEE4001
CHEE4003	https://programs-courses.uq.edu.au/course.html?course_code=CHEE4003
CHEE4007	https://programs-courses.uq.edu.au/course.html?course_code=CHEE4007
CHEE4027	https://programs-courses.uq.edu.au/course.html?course_code=CHEE4027
CHEE7103	https://programs-courses.uq.edu.au/course.html?course_code=CHEE7103
CHEE7340	https://programs-courses.uq.edu.au/course.html?course_code=CHEE7340
CHEE7380	https://programs-courses.uq.edu.au/course.html?course_code=CHEE7380
CHEE7382	https://programs-courses.uq.edu.au/course.html?course_code=CHEE7382
CHEE7600	https://programs-courses.uq.edu.au/course.html?course_code=CHEE7600
CHEM1004	https://programs-courses.uq.edu.au/course.html?course_code=CHEM1004
CHEM1100	https://programs-courses.uq.edu.au/course.html?course_code=CHEM1100
CHEM1200	https://programs-courses.uq.edu.au/course.html?course_code=CHEM1200
CHEM1221	https://programs-courses.uq.edu.au/course.html?course_code=CHEM1221
CHEM1222	https://programs-courses.uq.edu.au/course.html?course_code=CHEM1222
CHEM2060	https://programs-courses.uq.edu.au/course.html?course_code=CHEM2060
CHEM2902	https://programs-courses.uq.edu.au/course.html?course_code=CHEM2902
CHEM3011	https://programs-courses.uq.edu.au/course.html?course_code=CHEM3011
CHEM3016	https://programs-courses.uq.edu.au/course.html?course_code=CHEM3016
CHEM3020	https://programs-courses.uq.edu.au/course.html?course_code=CHEM3020
CHEM3030	https://programs-courses.uq.edu.au/course.html?course_code=CHEM3030
CHEM6520	https://programs-courses.uq.edu.au/course.html?course_code=CHEM6520
